Date,Time,Alt(m),VSpd(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-08,13:27:32.200,61.4,7.0,-72,-89,100,11,0,8,10,-67,100,10,11.6,0.0,0,0,5,5,1024,-7,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1358,1530,1518,2012,1533,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:32.700,64.0,5.1,-75,-78,100,11,0,8,10,-68,100,10,11.6,0.0,0,0,5,-324,1024,-124,8,-1024,-3,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1441,1499,1500,2012,1499,1499,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:33.200,65.2,2.6,-73,-78,100,11,0,8,10,-69,96,11,11.6,0.0,0,0,5,-344,1024,-79,8,-1024,-4,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1447,1511,1507,2012,1512,1507,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:33.700,68.6,5.6,-71,-78,100,10,0,8,10,-66,100,11,11.6,0.0,0,0,5,4,1024,-7,8,-1024,-3,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1358,1530,1518,2012,1533,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:34.200,70.9,4.5,-74,-78,100,11,0,8,10,-67,100,11,11.6,0.0,0,0,5,-155,1024,-10,8,-1024,-3,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1397,1529,1518,2012,1532,1519,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:34.700,71.7,2.4,-71,-78,100,12,0,8,10,-67,100,11,11.6,0.0,0,0,5,-572,1024,-102,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1520,1505,1503,2012,1505,1503,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:35.200,74.0,5.2,-71,-78,100,9,0,8,10,-69,100,12,11.6,0.0,0,0,5,4,1024,-8,8,-1024,-3,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1358,1530,1518,2012,1533,1519,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:35.700,76.4,4.5,-80,-84,100,8,0,8,10,-78,100,9,11.6,0.0,0,0,5,-158,1024,-5,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1398,1530,1518,2012,1534,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:36.200,77.4,2.3,-84,-84,100,4,0,8,25,-88,100,9,11.6,0.0,0,0,5,-506,1024,482,8,-1024,-4,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1497,1661,1598,2012,1679,1605,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:36.700,79.8,5.0,-78,-91,99,10,0,8,10,-72,100,11,11.6,0.0,0,0,5,-445,1024,-6,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1480,1530,1518,2012,1534,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:37.200,81.1,3.6,-81,-91,100,10,0,8,10,-90,100,8,11.6,0.0,0,0,5,-2,1024,62,8,-1024,-4,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1359,1548,1529,2012,1554,1532,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:37.700,83.9,4.1,-81,-85,100,9,0,8,10,-78,100,10,11.6,0.0,0,0,5,3,1024,798,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1359,1746,1650,2012,1773,1661,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:38.200,86.0,4.4,-81,-85,100,8,0,8,10,-79,100,10,11.6,0.0,0,0,5,4,1024,192,8,-1024,-3,-560,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1358,1583,1551,2012,1592,1554,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:38.700,86.1,0.9,-77,-78,99,7,0,8,25,-81,100,10,11.6,0.0,0,0,5,-632,1024,-3,8,-1024,-3,-561,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1513,1543,1531,1519,2012,1535,1520,1260,1701,1986,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
